检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|09:57:03.000,20260206,09:57:03.000,,AG,AG2605,46623000,45333,45333,46623000,visible_execution_drop,17640.0,0.0,3,"AG2604,AG2606,AG2612",20,167,290.0,17549.0,17589.409090909092,91.0,51.58730158730159,50.5909090909081,28.679653679653114,,,82.59519999999999,66.7923999999856,64.01666666666642,91.0,51.58730158730159,detector_event_depth,22.0,5804505.0,22.0,16694.999999999673,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|21:43:22.000,20260206,21:43:22.000,21:43:23.000,AG,AG2606,2602000,5204,5204,2602000,interval_execution_drop,18778.5,5.9304,5,"AG2604,AG2605,AG2608,AG2612,AG2610",20,455,290.0,18769.0,18726.682926829268,9.5,5.058977021593844,51.81707317073233,27.59382973652439,18735.929515418502,42.57048458149802,49.9432,40.55076363639596,42.56707317073233,42.57048458149802,22.669800346938263,detector_event_depth,164.0,46067640.0,164.0,127470.00000000153,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|22:04:08.500,20260206,22:04:08.500,,AG,AG2606,3848500,7697,7697,3848500,visible_execution_drop,18502.5,9.636899999999999,5,"AG2604,AG2605,AG2608,AG2612,AG2610",20,416,290.0,18451.0,18475.61764705882,51.5,27.83407647615187,26.882352941178397,14.52903820628477,,,50.4432,45.316498461544704,46.0,51.5,27.83407647615187,detector_event_depth,34.0,9422565.0,34.0,13710.000000000982,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|21:31:04.000,20260206,21:31:04.000,,AG,AG2608,1864000,3728,3728,1864000,visible_execution_drop,18689.0,5.9304,5,"AG2604,AG2606,AG2605,AG2612,AG2610",20,371,290.0,18604.0,18640.833333333332,85.0,45.48129915993365,48.16666666666788,25.772736190629715,,,62.053999999999995,55.873599999999996,79.25,85.0,45.48129915993365,detector_event_depth,30.0,8388375.0,30.0,21675.000000000546,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|23:32:19.000,20260206,23:32:19.000,,AG,AG2608,9139000,18263,18263,9139000,visible_execution_drop,18090.0,5.1891,5,"AG2604,AG2606,AG2605,AG2612,AG2610",20,318,290.0,18032.0,18058.483870967742,58.0,32.06191265892758,31.516129032257595,17.42185131689198,,,50.373599999999996,45.800799999999995,58.0,58.0,32.06191265892758,detector_event_depth,31.0,8397195.0,31.0,14654.999999999782,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|23:35:19.500,20260206,23:35:19.500,,AG,AG2608,9319500,18622,18622,9319500,visible_execution_drop,18177.0,4.633125,4,"AG2604,AG2605,AG2612,AG2610",20,342,290.0,18110.0,18148.058823529413,67.0,36.8597678384772,28.94117647058738,15.921866353406712,,,61.734399999999994,54.1964,67.0,67.0,36.8597678384772,detector_event_depth,17.0,4627755.0,17.0,7379.999999999782,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|23:37:24.500,20260206,23:37:24.500,23:37:25.500,AG,AG2608,9444500,18871,18871,9444500,"visible_execution_drop,interval_execution_drop",18241.5,4.4478,5,"AG2604,AG2606,AG2605,AG2612,AG2610",20,356,290.0,18071.0,18089.774011299432,170.5,93.46819066414494,151.72598870056754,83.17626768663078,18116.12757201646,125.37242798354055,122.60799999999999,117.0826666666535,143.86422413793116,170.5,93.46819066414494,detector_event_depth,177.0,48028350.0,177.0,402832.5000000068,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|23:37:31.500,20260206,23:37:31.500,23:37:32.500,AG,AG2608,9451500,18885,18885,9451500,visible_execution_drop,18211.0,2.9652,4,"AG2604,AG2606,AG2605,AG2612",20,349,290.0,18050.0,18090.602272727276,161.0,88.40810499148866,120.3977272727243,66.1126392140598,18095.639285714286,115.3607142857145,122.60799999999999,116.1776,139.39999999999964,161.0,88.40810499148866,detector_event_depth,88.0,23879595.0,88.0,158924.99999999607,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2612|10:10:14.000,20260206,10:10:14.000,10:10:15.000,AG,AG2612,47414000,44960,44960,47414000,"visible_execution_drop,interval_execution_drop",16561.5,5.1891,3,"AG2604,AG2606,AG2605",20,148,288.5,16445.0,16475.714285714286,116.5,70.34386981855508,85.78571428571377,51.79827569103871,16480.821428571428,80.67857142857247,79.95599999999999,74.6506,98.5,116.5,70.34386981855508,detector_event_depth,21.0,5189850.0,21.0,27022.499999999836,quote_only_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2701|00:42:25.500,20260206,00:42:25.500,,AG,AG2701,13345500,23325,23325,13345500,visible_execution_drop,17647.875,2.038575,2,"AG2604,AG2606",20,120,290.0,17564.0,17564.0,83.875,47.52696854437149,83.875,47.52696854437149,,,44.4954,43.0128,43.375,83.875,47.52696854437149,detector_event_depth,1.0,263460.0,1.0,1258.125,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2701|00:42:45.500,20260206,00:42:45.500,,AG,AG2701,13365500,23359,23359,13365500,visible_execution_drop,17641.25,9.636899999999999,4,"AG2604,AG2606,AG2605,AG2608",20,128,290.0,17589.0,17589.0,52.25,29.618082618862044,52.25,29.618082618862044,,,49.9432,49.9432,52.25,52.25,29.618082618862044,detector_event_depth,2.0,527670.0,2.0,1567.5,trade_recovered_3s,1.0,,1.5,
