检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|22:31:52.500,20260302,22:31:52.500,22:31:53.500,AG,AG2604,5512500,11013,11013,5512500,visible_execution_drop,23461.5,5.9304,5,"AG2606,AG2605,AG2608,AG2610,AG2612",20,546,290.0,23407.0,23415.89393939394,54.5,23.229546277944717,45.606060606060055,19.438680649600432,23419.83409090909,41.665909090908826,45.2454,44.68768598929386,34.70370370370438,198.0,69545205.0,198.0,135449.99999999837,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|23:51:35.000,20260302,23:51:35.000,,AG,AG2604,10295000,20568,20568,10295000,visible_execution_drop,23870.25,1.11195,4,"AG2606,AG2605,AG2608,AG2610",20,561,290.0,23832.0,23852.67213114754,38.25,16.024130455273824,17.577868852458778,7.363923231829904,,,35.5824,34.43119999997724,31.33333333333394,61.0,21825195.0,61.0,16083.749999999782,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|02:24:51.500,20260302,02:24:51.500,,AG,AG2604,19491500,38793,38793,19492000,"visible_execution_drop,interval_execution_drop",23702.0,4.4478,3,"AG2606,AG2610,AG2612",20,432,290.0,23650.0,23680.390625,52.0,21.939076871150114,21.609375,9.117110370432874,,,29.151999999999997,29.151999999999997,28.075581395349218,64.0,22733175.0,203.0,20745.0,trade_recovered_3s,2.0,2.5,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|02:24:56.500,20260302,02:24:56.500,02:24:57.500,AG,AG2604,19496500,38803,38803,19496500,"visible_execution_drop,interval_execution_drop",23730.5,0.7413,3,"AG2605,AG2608,AG2610",20,432,290.0,23691.0,23694.01111111111,39.5,16.645245570046985,36.48888888888905,15.376367497056131,23701.229729729726,29.270270270273613,31.1346,26.860399999993835,19.668524970964427,90.0,31986915.0,90.0,49260.00000000022,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|00:13:02.000,20260302,00:13:02.000,,AG,AG2606,11582000,23136,23136,11582000,visible_execution_drop,23735.0,7.412999999999999,4,"AG2605,AG2608,AG2610,AG2612",20,489,290.0,23702.0,23718.625,33.0,13.903518011375606,16.375,6.899094164735623,,,29.651999999999997,27.675199999985615,29.25,32.0,11384940.0,32.0,7860.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|02:24:32.000,20260302,02:24:32.000,,AG,AG2608,19472000,38370,38370,19472000,visible_execution_drop,23586.5,1.8532499999999998,4,"AG2604,AG2606,AG2605,AG2610",20,217,290.0,23566.0,23578.3,20.5,8.691412460517668,8.200000000000728,3.4765649842073763,,,20.0,20.0,20.5,10.0,3536745.0,10.0,1230.0000000001091,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|02:24:49.000,20260302,02:24:49.000,,AG,AG2608,19489000,38404,38404,19489000,visible_execution_drop,23427.5,8.524949999999999,4,"AG2604,AG2606,AG2610,AG2612",20,228,290.0,23400.0,23418.0,27.5,11.738341692455448,9.5,4.055063493757337,,,23.2216,22.15832121211903,27.5,6.0,2107620.0,6.0,855.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|02:25:31.000,20260302,02:25:31.000,,AG,AG2608,19531000,38488,38488,19531000,visible_execution_drop,23510.0,2.2239,3,"AG2604,AG2606,AG2605",20,264,289.5,23477.0,23491.0,33.0,14.036580178647384,19.0,8.081667375584857,,,28.651999999999997,24.3292,27.5,3.0,1057095.0,3.0,855.0,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|21:15:44.500,20260302,21:15:44.500,,AG,AG2610,944500,1859,1859,944500,visible_execution_drop,23003.25,5.559749999999999,4,"AG2604,AG2605,AG2608,AG2612",20,106,290.0,22970.0,22996.058823529413,33.25,14.454479258365666,7.191176470587379,3.1261567259354135,,,27.936799999999998,31.151999999999997,23.25,17.0,5863995.0,17.0,1833.7499999997817,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|10:00:16.000,20260302,10:00:16.000,10:00:17.000,AG,AG2610,46816000,45421,45421,46816000,visible_execution_drop,23405.0,0.7413,5,"AG2604,AG2606,AG2605,AG2608,AG2612",20,185,290.0,23347.0,23347.0,58.0,24.78102969450972,58.0,24.78102969450972,23397.115384615383,7.884615384617064,56.303999999999995,47.4084,58.0,1.0,350205.0,1.0,870.0,trade_recovered_3s,0.5,,0.5,
