detail_id,commodity,contract,trade_date,candidate_score,candidate_level,trigger_reasons,main_reference_contract
JD|JD2411|2024-01-02,JD,JD2411,2024-01-02,60.0,medium,结构失真,JD2402
JD|JD2411|2024-01-03,JD,JD2411,2024-01-03,60.0,medium,结构失真,JD2402
JD|JD2410|2024-01-04,JD,JD2410,2024-01-04,60.0,medium,结构失真,JD2402
JD|JD2411|2024-01-04,JD,JD2411,2024-01-04,60.0,medium,结构失真,JD2402
JD|JD2404|2024-01-04,JD,JD2404,2024-01-04,40.0,low,结构失真,JD2402
JD|JD2405|2024-01-04,JD,JD2405,2024-01-04,40.0,low,结构失真,JD2402
JD|JD2411|2024-01-05,JD,JD2411,2024-01-05,60.0,medium,结构失真,JD2402
JD|JD2411|2024-01-08,JD,JD2411,2024-01-08,60.0,medium,结构失真,JD2402
JD|JD2411|2024-01-09,JD,JD2411,2024-01-09,44.0,low,结构失真,JD2403
JD|JD2410|2024-01-09,JD,JD2410,2024-01-09,41.0,low,振幅异常；结构失真,JD2403
JD|JD2403|2024-01-12,JD,JD2403,2024-01-12,52.0,medium,振幅异常；结构失真,JD2403
JD|JD2410|2024-01-15,JD,JD2410,2024-01-15,50.0,medium,结构失真,JD2403
JD|JD2411|2024-01-15,JD,JD2411,2024-01-15,45.0,low,结构失真,JD2403
JD|JD2405|2024-01-15,JD,JD2405,2024-01-15,40.0,low,结构失真,JD2403
JD|JD2407|2024-01-15,JD,JD2407,2024-01-15,40.0,low,结构失真,JD2403
JD|JD2404|2024-01-16,JD,JD2404,2024-01-16,40.0,low,结构失真,JD2403
JD|JD2412|2024-01-22,JD,JD2412,2024-01-22,60.0,medium,结构失真,JD2403
JD|JD2402|2024-01-22,JD,JD2402,2024-01-22,37.0,low,振幅异常；结构失真,JD2403
